X,Y,Shape_Leng,Shape_Area,ADM2_EN,ADM2_DA,ADM2_PCODE,ADM2_REF,ADM2ALT1EN,ADM2ALT2EN,ADM2ALT1DA,ADM2ALT2DA,ADM1_EN,ADM1_DA,ADM1_PCODE,ADM0_EN,ADM0_DA,ADM0_PCODE,date,validOn,ValidTo,REG_EN,REG_DA,REG_PCODE
68.05808517,32.89639339,1.393551477,0.096938223,Ab Band,آب بند,AF1113,,,,,,Ghazni,غزنی,AF11,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,South Eastern,جنوب ختیځه حوزه,SE
62.92419355,34.88487842,2.216778462,0.176803576,Ab Kamari,آب کمری,AF3102,,,,,,Badghis,بادغیس,AF31,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Western,لویدیځه حوزه,WR
70.66990658,34.08492684,1.055832934,0.045637775,Achin,اچین,AF0615,,,,,,Nangarhar,ننگرهار,AF06,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Eastern,ختیځه حوزه,ER
61.79961996,33.70745867,7.048567316,0.961620761,Adraskan,ادرسکن,AF3209,,,,,,Hirat,هرات,AF32,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Western,لویدیځه حوزه,WR
69.29984755,33.76836462,1.155274025,0.040547371,Ahmadaba,احمد آبا,AF1302,,,,,,Paktya,پکتیا,AF13,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,South Eastern,جنوب ختیځه حوزه,SE
67.1083095,33.52395215,2.508196029,0.147791217,Ajristan,اجرستان,AF1118,,,,,,Ghazni,غزنی,AF11,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,South Eastern,جنوب ختیځه حوزه,SE
69.8017621,34.94037446,0.828991984,0.029864406,Alasay,اله سای,AF0207,,,,,,Kapisa,کاپیسا,AF02,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Capital,مرکزی حوزه,CR
68.84128214,36.53302378,0.962249433,0.041907968,Ali Abad,علی آباد,AF1903,,,,,,Kunduz,کندز,AF19,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,North Eastern,سهیل ختیځه حوزه,NE
70.41145266,34.80020292,1.40885838,0.080629083,Alingar,علینگار,AF0704,,,,,,Laghman,لغمان,AF07,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Eastern,ختیځه حوزه,ER
70.06429017,34.83112809,1.263270809,0.066063873,Alishang,علیشنگ,AF0703,,,,,,Laghman,لغمان,AF07,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Eastern,ختیځه حوزه,ER
64.22255154,35.95210006,2.323963208,0.158203938,Almar,المار,AF2904,,,,,,Faryab,فاریاب,AF29,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Northern,سهیلی حوزه,NR
61.15552986,33.01246998,5.124019507,1.015075082,Anar Dara,انار دره,AF3307,,,,,,Farah,فراه,AF33,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Western,لویدیځه حوزه,WR
69.38962766,35.2346293,0.58970148,0.017675968,Anawa,عنابه,AF0805,,,,,,Panjsher,پنجشیر,AF08,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Capital,مرکزی حوزه,CR
68.43437741,33.30658702,1.321054946,0.068667211,Andar,اندړ,AF1107,,,,,,Ghazni,غزنی,AF11,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,South Eastern,جنوب ختیځه حوزه,SE
69.22087343,35.61844575,1.771731067,0.101549845,Andarab,اندراب,AF0907,,,,,,Baghlan,بغلان,AF09,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,North Eastern,سهیل ختیځه حوزه,NE
65.30243347,36.84866561,0.987543274,0.038001725,Andkhoy,اندخوی,AF2913,,,,,,Faryab,فاریاب,AF29,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Northern,سهیلی حوزه,NR
66.18599157,36.90604019,0.639597816,0.015729165,Aqcha,آقچه,AF2807,,,,,,Jawzjan,جوزجان,AF28,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Northern,سهیلی حوزه,NR
67.00258138,32.50862099,2.305945932,0.144609591,Arghandab,ارغنداب,AF2605,,,,,,Zabul,زابل,AF26,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Southern,جنوبی حوزه,SR
65.66519645,31.7657003,1.102757248,0.052000571,Arghandab,ارغنداب,AF2702,,,,,,Kandahar,کندهار,AF27,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Southern,جنوبی حوزه,SR
70.85775137,37.29700206,1.617678999,0.07425506,Arghanj Khwah,ارغنچخواه,AF1703,,,,,,Badakhshan,بدخشان,AF17,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,North Eastern,سهیل ختیځه حوزه,NE
66.47767556,31.51715394,3.515311418,0.369983995,Arghestan,ارغستان,AF2708,,,,,,Kandahar,کندهار,AF27,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Southern,جنوبی حوزه,SR
70.39385974,37.04944216,1.977448583,0.106834135,Argo,ارگو,AF1702,,,,,,Badakhshan,بدخشان,AF17,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,North Eastern,سهیل ختیځه حوزه,NE
71.11540689,34.86416998,0.554535941,0.008347441,Asad Abad,اسد آباد,AF1501,,Centre,,,,Kunar,کنر ها,AF15,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Eastern,ختیځه حوزه,ER
66.27903376,34.07852042,2.202294106,0.152837773,Ashtarlay,اشترلی,AF2403,,,,,,Daykundi,دایکندی,AF24,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Central Highland,لوړه مرکزی حوزه,CH
67.3831141,31.72575523,1.248855471,0.047796951,Atghar,اتغر,AF2608,,,,,,Zabul,زابل,AF26,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Southern,جنوبی حوزه,SR
68.01519936,36.20085938,1.975222565,0.14932978,Aybak,ایبک,AF2001,,Centre,,,,Samangan,سمنگان,AF20,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Northern,سهیلی حوزه,NR
69.64478638,34.09258739,1.702482856,0.074383528,Azra,ازره,AF0507,,,,,,Logar,لوگر,AF05,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Capital,مرکزی حوزه,CR
68.64742256,36.296092,2.642236888,0.260793484,Baghlan-e-Jadid,بغلان جدید,AF0905,,,,,,Baghlan,بغلان,AF09,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,North Eastern,سهیل ختیځه حوزه,NE
65.05926341,33.11315894,4.686342944,0.372193763,Baghran,باغران,AF3012,,,,,,Hilmand,هلمند,AF30,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Southern,جنوبی حوزه,SR
69.33387407,34.92235973,1.110193697,0.035569906,Bagram,بگرام,AF0302,,,,,,Parwan,پروان,AF03,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Capital,مرکزی حوزه,CR
69.35014313,34.4912917,0.861447945,0.027447575,Bagrami,بگرامی,AF0104,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Capital,مرکزی حوزه,CR
70.87764085,37.03033261,0.894332686,0.032765538,Baharak,بهارک,AF1706,,,,,,Badakhshan,بدخشان,AF17,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,North Eastern,سهیل ختیځه حوزه,NE
69.40095311,36.8272981,0.838238001,0.024595021,Baharak,بهارک,AF1803,,,,,,Takhar,تخار,AF18,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,North Eastern,سهیل ختیځه حوزه,NE
70.06790283,33.54386495,0.725050288,0.016585779,Bak,باک,AF1409,,,,,,Khost,خوست,AF14,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,South Eastern,جنوب ختیځه حوزه,SE
62.85184452,32.20178833,2.412982322,0.231274997,Bakwa,بکواه,AF3308,,,,,,Farah,فراه,AF33,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Western,لویدیځه حوزه,WR
62.62615632,32.76675327,4.628440856,0.528299015,Bala Buluk,بالا بلوک,AF3306,,,,,,Farah,فراه,AF33,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Western,لویدیځه حوزه,WR
63.4208534,35.50800985,4.305470792,0.439906671,Bala Murghab,بالا مرغاب,AF3105,,,,,,Badghis,بادغیس,AF31,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Western,لویدیځه حوزه,WR
66.88647525,36.79253555,1.011753372,0.054590911,Balkh,بلخ,AF2106,,,,,,Balkh,بلخ,AF21,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Northern,سهیلی حوزه,NR
66.57240226,35.44280092,2.820321566,0.295542528,Balkhab,بلخاب,AF2207,,,,,,Sar-e-Pul,سرپل,AF22,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Northern,سهیلی حوزه,NR
67.67560489,34.80186071,2.128533058,0.17711014,Bamyan,بامیان,AF1001,,Centre,,,,Bamyan,بامیان,AF10,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Central Highland,لوړه مرکزی حوزه,CH
