X,Y,District,Capital,Province
70.85775137,37.29700206,Arghanj Khwah,,Badakhshan
70.39385974,37.04944216,Argo,,Badakhshan
70.87764085,37.03033261,Baharak,,Badakhshan
70.47093146,36.88228795,Darayem,,Badakhshan
71.21724217,38.10998551,Dawraz-e-Bala,,Badakhshan
70.90585726,38.22845068,Dawraz-e-Payin,,Badakhshan
71.44137946,36.87977991,Eshkashem,,Badakhshan
70.5949593,37.20942797,Fayzabad,1,Badakhshan
70.84829296,36.75724986,Jorm,,Badakhshan
70.15178782,36.75068048,Keshem,,Badakhshan
70.72898349,36.94237267,Khash,,Badakhshan
70.38930337,37.84849369,Khwahan,,Badakhshan
70.74216906,37.92792273,Kofab,,Badakhshan
70.62480157,37.40883308,Kohistan,,Badakhshan
70.70117156,35.89291798,Koran Wa Monjan,,Badakhshan
70.60812847,37.67655025,Raghestan,,Badakhshan
70.12384988,37.30900126,Shahr-e-Buzorg,,Badakhshan
70.63052996,38.23383364,Shaki,,Badakhshan
71.21634768,37.6274747,Shighnan,,Badakhshan
71.14894157,37.07583438,Shuhada,,Badakhshan
70.3419962,36.49936311,Tagab,,Badakhshan
70.3514255,36.78885273,Teshkan,,Badakhshan
73.2781696,36.93764047,Wakhan,,Badakhshan
71.20633959,36.76743112,Warduj,,Badakhshan
70.3848351,37.30832265,Yaftal-e-Sufla,,Badakhshan
70.83790566,36.43262176,Yamgan,,Badakhshan
70.4152811,37.51703742,Yawan,,Badakhshan
71.3639659,36.44634269,Zebak,,Badakhshan
62.92419355,34.88487842,Ab Kamari,,Badghis
63.4208534,35.50800985,Bala Murghab,,Badghis
63.76687783,35.69942124,Ghormach,,Badghis
64.3860467,35.05057962,Jawand,,Badghis
63.22795697,35.14654526,Muqur,,Badghis
63.46409784,34.88452198,Qadis,,Badghis
63.11006492,34.84589817,Qala-e-Naw,1,Badghis
69.22087343,35.61844575,Andarab,,Baghlan
68.64742256,36.296092,Baghlan-e-Jadid,,Baghlan
69.11130631,36.26044131,Burka,,Baghlan
68.51579853,35.84402458,Dahana-e-Ghori,,Baghlan
69.3680326,35.75544941,Deh Salah,,Baghlan
68.58133408,35.65132288,Doshi,,Baghlan
69.68334143,36.14908851,Fereng Wa Gharu,,Baghlan
69.58188394,36.24546655,Guzargah-e-Nur,,Baghlan
69.00913429,35.47998526,Khinjan,,Baghlan
69.68096562,35.91321703,Khost Wa Fereng,,Baghlan
69.2880319,35.97317764,Khwaja Hejran,,Baghlan
69.02306675,36.0126042,Nahrin,,Baghlan
69.57301877,35.57559066,Pul-e-Hisar,,Baghlan
68.70181236,36.01659145,Pul-e-Khumri,1,Baghlan
68.47966777,35.29847063,Tala Wa Barfak,,Baghlan
66.88647525,36.79253555,Balkh,,Balkh
66.65795995,36.83996035,Char Bolak,,Balkh
67.23260913,36.35996038,Charkent,,Balkh
66.63212138,36.52020804,Chemtal,,Balkh
66.80433207,37.0524034,Dawlat Abad,,Balkh
66.99410969,36.64950636,Dehdadi,,Balkh
67.57051218,37.13416502,Kaldar,,Balkh
66.99764714,35.95594257,Keshendeh,,Balkh
67.71444523,36.80928365,Khulm,,Balkh
67.35276378,36.62726685,Marmul,,Balkh
67.11927253,36.7107618,Mazar-e-Sharif,1,Balkh
67.18837003,36.82591165,Nahr-e-Shahi,,Balkh
67.3689358,37.18958761,Sharak-e-Hayratan,,Balkh
66.88675437,36.33562852,Sholgareh,,Balkh
66.82931047,37.23295097,Shortepa,,Balkh
66.76250343,35.86487314,Zari,,Balkh
67.67560489,34.80186071,Bamyan,1,Bamyan
67.76606659,35.34630446,Kahmard,,Bamyan
66.89294741,34.41428295,Panjab,,Bamyan
67.61174321,35.10990588,Sayghan,,Bamyan
68.08587413,34.91916769,Shibar,,Bamyan
66.93676546,34.14494078,Waras,,Bamyan
66.88048935,34.96740511,Yakawlang,,Bamyan
66.27903376,34.07852042,Ashtarlay,,Daykundi
66.35541504,33.3759639,Gizab,,Daykundi
65.5888135,33.17477169,Kajran,,Daykundi
65.7694791,33.90242394,Khadir,,Daykundi
65.71484395,33.53534398,Kiti,,Daykundi
67.03563172,33.79956834,Miramor,,Daykundi
66.04483243,33.76790849,Nili,1,Daykundi
65.95362155,34.16669059,Sang-e-Takht,,Daykundi
66.45159705,33.71644474,Shahrestan,,Daykundi
61.15552986,33.01246998,Anar Dara,,Farah
62.85184452,32.20178833,Bakwa,,Farah
62.62615632,32.76675327,Bala Buluk,,Farah
62.26506103,32.29459245,Farah,1,Farah
63.64220314,32.63801474,Gulistan,,Farah
62.06435079,32.74138573,Khak-e-Safed,,Farah
61.2957562,31.68034411,Lash-e-Juwayn,,Farah
63.92377725,33.12582969,Pur Chaman,,Farah
62.05110934,32.48267548,Pushtrod,,Farah
61.35498264,32.4072247,Qala-e-Kah,,Farah
61.35969691,32.12881972,Shibkoh,,Farah
64.22255154,35.95210006,Almar,,Faryab
65.30243347,36.84866561,Andkhoy,,Faryab
65.46603861,35.89456558,Bilcheragh,,Faryab
65.04077391,36.52826062,Dawlat Abad,,Faryab
65.23039642,35.63158199,Garzewan,,Faryab
65.2214459,37.08249146,Khan-e-Char Bagh,,Faryab
64.99893261,36.06318875,Khwaja Sabz Posh,,Faryab
64.91776644,35.34173868,Kohistan,,Faryab
64.78686414,35.93225005,Maymana,1,Faryab
64.85125818,35.81051839,Pashtun Kot,,Faryab
64.99426034,36.79799977,Qaram Qul,,Faryab
64.29486028,35.66045722,Qaysar,,Faryab
64.92290594,37.05132075,Qurghan,,Faryab
64.86697155,36.27624,Shirin Tagab,,Faryab
68.05808517,32.89639339,Ab Band,,Ghazni
67.1083095,33.52395215,Ajristan,,Ghazni
68.43437741,33.30658702,Andar,,Ghazni
68.650232,33.46128079,Deh Yak,,Ghazni
67.66172538,32.71719145,Gelan,,Ghazni
68.43023287,33.52513936,Ghazni,1,Ghazni
68.3053742,33.04931926,Giro,,Ghazni
68.07974905,33.52933768,Jaghatu,,Ghazni
67.42009141,33.15837246,Jaghuri,,Ghazni
68.42800054,33.68142511,Khwaja Umari,,Ghazni
67.22244236,33.2782897,Malistan,,Ghazni
67.76626525,32.92933353,Muqur,,Ghazni
67.90829794,32.33594564,Nawa,,Ghazni
67.7010987,33.77609453,Nawur,,Ghazni
68.02213883,33.21666416,Qara Bagh,,Ghazni
68.16177835,33.70141904,Rashidan,,Ghazni
68.20978537,33.41247669,Waghaz,,Ghazni
68.29603125,33.56314555,Wal-e-Muhammad-e-Shahid,,Ghazni
68.66130109,33.69373731,Zanakhan,,Ghazni
65.18355839,35.10633399,Charsadra,,Ghor
65.74914667,34.59847209,Dawlatyar,,Ghor
65.13894895,34.12465813,DoLayna,,Ghor
65.16043281,34.7034741,Feroz Koh,1,Ghor
66.33323197,34.62052939,Lal Wa Sarjangal,,Ghor
65.13895512,33.57694211,Pasaband,,Ghor
63.60765445,33.61721462,Saghar,,Ghor
64.31417183,34.0917078,Shahrak,,Ghor
64.38508311,33.47420933,Taywarah,,Ghor
63.73112763,33.97646939,Tolak,,Ghor
65.05926341,33.11315894,Baghran,,Hilmand
63.16217868,29.98020159,Deh-e-Shu,,Hilmand
64.11488838,30.30920521,Garmser,,Hilmand
65.13139306,32.56756898,Kajaki,,Hilmand
64.53180053,31.49561674,Lashkargah,1,Hilmand
64.75441021,32.42785772,Musa Qala,,Hilmand
63.80061502,31.54404673,Nad-e-Ali,,Hilmand
64.57615795,31.8890098,Nahr-e-Saraj,,Hilmand
64.2677065,31.36220535,Nawa-e-Barakzaiy,,Hilmand
64.26941122,32.53229764,Nawzad,,Hilmand
63.44431492,30.75863156,Reg-i-Khan Nishin,,Hilmand
64.97734093,32.08619656,Sangin,,Hilmand
63.97817876,32.18517835,Washer,,Hilmand
61.79961996,33.70745867,Adraskan,,Hirat
63.87585655,34.45669184,Chisht-e-Sharif,,Hirat
63.3107073,33.85886132,Farsi,,Hirat
61.29523437,34.31521106,Ghoryan,,Hirat
61.57661316,35.13465843,Gulran,,Hirat
62.20798232,34.05039505,Guzara,,Hirat
62.17384432,34.37439138,Hirat,1,Hirat
62.15331336,34.48663333,Injil,,Hirat
62.70560206,34.48204064,Karukh,,Hirat
61.1771477,34.6158813,Kohsan,,Hirat
62.27617322,35.05728875,Kushk,,Hirat
62.60396448,34.93649967,Kushk-e-Kuhna,,Hirat
63.17421443,34.34285805,Obe,,Hirat
62.71806886,34.19417544,Pashtun Zarghun,,Hirat
62.42830691,33.23690215,Shindand,,Hirat
61.79394469,34.36668587,Zindajan,,Hirat
66.18599157,36.90604019,Aqcha,,Jawzjan
65.35439215,36.01316093,Darzab,,Jawzjan
66.35367412,36.7276445,Fayzabad,,Jawzjan
65.73857495,37.33233681,Khamyab,,Jawzjan
66.15976589,36.78879193,Khanaqa,,Jawzjan
65.61329815,36.96588773,Khwaja Dukoh,,Jawzjan
66.32636906,37.02478717,Mardyan,,Jawzjan
66.00200724,37.06483712,Mingajik,,Jawzjan
66.06954734,37.3011354,Qarqin,,Jawzjan
65.35643672,36.20849636,Qush Tepa,,Jawzjan
65.76836558,36.59033292,Shiberghan,1,Jawzjan
69.35014313,34.4912917,Bagrami,,Kabul
69.04874676,34.37739661,Chahar Asyab,,Kabul
69.30657531,34.68023828,Deh Sabz,,Kabul
69.02163707,34.85353153,Estalef,,Kabul
69.0154744,34.79046243,Farza,,Kabul
68.99798236,34.7479389,Guldara,,Kabul
69.1508051,34.5178207,Kabul,1,Kabul
69.17160796,34.7533566,Kalakan,,Kabul
69.40137459,34.35542789,Khak-e-Jabbar,,Kabul
69.12071573,34.72597189,Mir Bacha Kot,,Kabul
69.21803725,34.36977538,Musahi,,Kabul
68.94105719,34.54619149,Paghman,,Kabul
69.19463562,34.85121397,Qara Bagh,,Kabul
69.06101749,34.65267233,Shakar Dara,,Kabul
69.70456879,34.53068405,Surobi,,Kabul
65.66519645,31.7657003,Arghandab,,Kandahar
66.47767556,31.51715394,Arghestan,,Kandahar
65.71170558,31.22323173,Daman,,Kandahar
65.27079823,32.07930581,Ghorak,,Kandahar
65.73637254,31.51894777,Kandahar,1,Kandahar
65.58732912,32.00967659,Khakrez,,Kandahar
67.24422479,31.47831452,Maruf,,Kandahar
64.97585314,31.58929507,Maywand,,Kandahar
66.34853899,32.37887872,Miyanshin,,Kandahar
65.74507969,32.40775923,Nesh,,Kandahar
65.13271625,31.13483076,Panjwayi,,Kandahar
65.21449872,30.14336884,Reg,,Kandahar
66.03723644,32.11619135,Shah Wali Kot,,Kandahar
66.04205707,30.16206954,Shorabak,,Kandahar
66.11861581,30.95698328,Spin Boldak,,Kandahar
65.41122525,31.64381429,Zheray,,Kandahar
69.8017621,34.94037446,Alasay,,Kapisa
69.34547007,35.13542011,Hisa-e-Awal-e-Kohistan,,Kapisa
69.32660148,35.07565629,Hisa-e-Duwum-e-Kohistan,,Kapisa
69.46013752,35.09819227,Koh Band,,Kapisa
69.41945678,35.00367759,Mahmood-e-Raqi,1,Kapisa
69.65722412,35.03993802,Nijrab,,Kapisa
69.68266552,34.78922523,Tagab,,Kapisa
70.06790283,33.54386495,Bak,,Khost
69.94994606,33.20123717,Gurbuz,,Khost
70.07376721,33.6388119,Jaji Maydan,,Khost
69.77995124,33.31401934,Mandozayi,,Khost
70.0102371,33.32913807,Matun,1,Khost
69.55262384,33.55557461,Musa Khel,,Khost
69.68301677,33.36138947,Nadir Shah Kot,,Khost
69.66114574,33.50109911,Qalandar,,Khost
69.86880074,33.5545196,Sabari,,Khost
69.52560107,33.32557368,Shamal,,Khost
69.50558218,33.1493355,Spera,,Khost
69.71345589,33.19525177,Tani,,Khost
70.21904112,33.36117601,Terezayi,,Khost
71.11540689,34.86416998,Asad Abad,1,Kunar
71.3878993,35.06029364,Bar Kunar,,Kunar
70.69771057,34.96274477,Chapa Dara,,Kunar
70.90192955,34.72645808,Chawkay,,Kunar
71.41120322,35.00206265,Dangam,,Kunar
70.91333047,34.95256519,Dara-e-Pech,,Kunar
71.32048507,35.23103107,Ghazi Abad,,Kunar
70.96280148,34.62478702,Khas Kunar,,Kunar
