X,Y,District,Capital,Province,REG_EN,Regional
70.85775137,37.29700206,Arghanj Khwah,,Badakhshan,North Eastern,
70.39385974,37.04944216,Argo,,Badakhshan,North Eastern,
70.87764085,37.03033261,Baharak,,Badakhshan,North Eastern,
70.47093146,36.88228795,Darayem,,Badakhshan,North Eastern,
71.21724217,38.10998551,Dawraz-e-Bala,,Badakhshan,North Eastern,
70.90585726,38.22845068,Dawraz-e-Payin,,Badakhshan,North Eastern,
71.44137946,36.87977991,Eshkashem,,Badakhshan,North Eastern,
70.5949593,37.20942797,Fayzabad,1,Badakhshan,North Eastern,
70.84829296,36.75724986,Jorm,,Badakhshan,North Eastern,
70.15178782,36.75068048,Keshem,,Badakhshan,North Eastern,
70.72898349,36.94237267,Khash,,Badakhshan,North Eastern,
70.38930337,37.84849369,Khwahan,,Badakhshan,North Eastern,
70.74216906,37.92792273,Kofab,,Badakhshan,North Eastern,
70.62480157,37.40883308,Kohistan,,Badakhshan,North Eastern,
70.70117156,35.89291798,Koran Wa Monjan,,Badakhshan,North Eastern,
70.60812847,37.67655025,Raghestan,,Badakhshan,North Eastern,
70.12384988,37.30900126,Shahr-e-Buzorg,,Badakhshan,North Eastern,
70.63052996,38.23383364,Shaki,,Badakhshan,North Eastern,
71.21634768,37.6274747,Shighnan,,Badakhshan,North Eastern,
71.14894157,37.07583438,Shuhada,,Badakhshan,North Eastern,
70.3419962,36.49936311,Tagab,,Badakhshan,North Eastern,
70.3514255,36.78885273,Teshkan,,Badakhshan,North Eastern,
73.2781696,36.93764047,Wakhan,,Badakhshan,North Eastern,
71.20633959,36.76743112,Warduj,,Badakhshan,North Eastern,
70.3848351,37.30832265,Yaftal-e-Sufla,,Badakhshan,North Eastern,
70.83790566,36.43262176,Yamgan,,Badakhshan,North Eastern,
70.4152811,37.51703742,Yawan,,Badakhshan,North Eastern,
71.3639659,36.44634269,Zebak,,Badakhshan,North Eastern,
62.92419355,34.88487842,Ab Kamari,,Badghis,Western,
63.4208534,35.50800985,Bala Murghab,,Badghis,Western,
63.76687783,35.69942124,Ghormach,,Badghis,Western,
64.3860467,35.05057962,Jawand,,Badghis,Western,
63.22795697,35.14654526,Muqur,,Badghis,Western,
63.46409784,34.88452198,Qadis,,Badghis,Western,
63.11006492,34.84589817,Qala-e-Naw,1,Badghis,Western,
69.22087343,35.61844575,Andarab,,Baghlan,North Eastern,
68.64742256,36.296092,Baghlan-e-Jadid,,Baghlan,North Eastern,
69.11130631,36.26044131,Burka,,Baghlan,North Eastern,
68.51579853,35.84402458,Dahana-e-Ghori,,Baghlan,North Eastern,
69.3680326,35.75544941,Deh Salah,,Baghlan,North Eastern,
