shapeid,x,y,PROV_NA_EN,DIST_NA_EN,color1
0,65.54173562,31.61032171,Kandahar,Panjwayi,
0,65.55930085,31.61508002,Kandahar,Panjwayi,
0,65.56943681,31.60814242,Kandahar,Panjwayi,
0,65.57043202,31.58505958,Kandahar,Panjwayi,
0,65.59977785,31.55807491,Kandahar,Panjwayi,
0,65.6077046,31.5213083,Kandahar,Panjwayi,
0,65.57178126,31.49988922,Kandahar,Panjwayi,
0,65.56452913,31.47728956,Kandahar,Panjwayi,
0,65.53535196,31.46312261,Kandahar,Panjwayi,
0,65.51055979,31.42601869,Kandahar,Panjwayi,
0,65.59944054,31.39751614,Kandahar,Panjwayi,
0,65.60146439,31.2769284,Kandahar,Panjwayi,
0,65.53821908,31.07774782,Kandahar,Panjwayi,
0,65.48593628,31.0023594,Kandahar,Panjwayi,
0,65.45945758,30.90656382,Kandahar,Panjwayi,
0,65.41324633,30.81700846,Kandahar,Panjwayi,
0,65.39182725,30.76573759,Kandahar,Panjwayi,
0,65.38373185,30.7218875,Kandahar,Panjwayi,
0,65.35376349,30.6572209,Kandahar,Panjwayi,
0,65.24118709,30.67133974,Kandahar,Panjwayi,
0,65.16878765,30.66913914,Kandahar,Panjwayi,
0,65.01254572,30.69862706,Kandahar,Panjwayi,
0,64.92430203,30.70566895,Kandahar,Panjwayi,
0,64.8567439,30.73009551,Kandahar,Panjwayi,
0,64.80018872,30.72943533,Kandahar,Panjwayi,
0,64.72646893,30.74748017,Kandahar,Panjwayi,
0,64.67717163,30.74030797,Kandahar,Panjwayi,
0,64.68222578,30.90422531,Kandahar,Panjwayi,
0,64.69260721,30.99274067,Kandahar,Panjwayi,
0,64.70148607,31.01336694,Kandahar,Panjwayi,
0,64.70981853,31.13111422,Kandahar,Panjwayi,
0,64.72608282,31.15560785,Kandahar,Panjwayi,
0,64.72876433,31.26898895,Kandahar,Panjwayi,
0,64.91251208,31.26090625,Kandahar,Panjwayi,
0,64.97980509,31.26461664,Kandahar,Panjwayi,
0,65.01151208,31.27439859,Kandahar,Panjwayi,
0,65.10983747,31.3335962,Kandahar,Panjwayi,
0,65.15233832,31.367833,Kandahar,Panjwayi,
0,65.18387665,31.4241635,Kandahar,Panjwayi,
0,65.18859897,31.46093011,Kandahar,Panjwayi,
0,65.20731958,31.48858939,Kandahar,Panjwayi,
0,65.22806404,31.48842074,Kandahar,Panjwayi,
0,65.24897716,31.47543437,Kandahar,Panjwayi,
0,65.28000953,31.47779552,Kandahar,Panjwayi,
0,65.39216456,31.50781597,Kandahar,Panjwayi,
0,65.44090562,31.54812432,Kandahar,Panjwayi,
0,65.46030085,31.55436452,Kandahar,Panjwayi,
0,65.48745417,31.58539689,Kandahar,Panjwayi,
0,65.52573867,31.59113113,Kandahar,Panjwayi,
0,65.54173562,31.61032171,Kandahar,Panjwayi,
1,65.56742519,31.61043381,Kandahar,Arghandab,
1,65.54173562,31.61032171,Kandahar,Arghandab,
1,65.54867905,31.62670563,Kandahar,Arghandab,
1,65.5270565,31.64528387,Kandahar,Arghandab,
1,65.52276394,31.68506348,Kandahar,Arghandab,
1,65.53648547,31.70216683,Kandahar,Arghandab,
1,65.52413409,31.72681823,Kandahar,Arghandab,
1,65.52922052,31.74591107,Kandahar,Arghandab,
1,65.56137177,31.7809992,Kandahar,Arghandab,
1,65.55740702,31.80660421,Kandahar,Arghandab,
1,65.5823269,31.84182274,Kandahar,Arghandab,
1,65.57748711,31.85416419,Kandahar,Arghandab,
1,65.59491034,31.8923985,Kandahar,Arghandab,
1,65.5859969,31.91048494,Kandahar,Arghandab,
1,65.60802422,31.91099326,Kandahar,Arghandab,
1,65.61946148,31.91988891,Kandahar,Arghandab,
1,65.69500665,31.91049957,Kandahar,Arghandab,
1,65.72340664,31.881146,Kandahar,Arghandab,
1,65.71324309,31.87219239,Kandahar,Arghandab,
1,65.72243868,31.83734594,Kandahar,Arghandab,
1,65.71049009,31.82579605,Kandahar,Arghandab,
1,65.75284185,31.78101551,Kandahar,Arghandab,
1,65.78335333,31.77372919,Kandahar,Arghandab,
1,65.78745189,31.76644286,Kandahar,Arghandab,
1,65.76197167,31.75255573,Kandahar,Arghandab,
1,65.77368226,31.73641718,Kandahar,Arghandab,
1,65.76284721,31.72744457,Kandahar,Arghandab,
1,65.7882803,31.71661246,Kandahar,Arghandab,
1,65.76361953,31.6859897,Kandahar,Arghandab,
1,65.74084977,31.6764264,Kandahar,Arghandab,
1,65.71849493,31.65488078,Kandahar,Arghandab,
1,65.67954619,31.65678427,Kandahar,Arghandab,
1,65.65873626,31.64031133,Kandahar,Arghandab,
1,65.63837386,31.64445201,Kandahar,Arghandab,
1,65.56742519,31.61043381,Kandahar,Arghandab,
2,68.29554454,33.68048035,Ghazni,Rashidan,
2,68.27884323,33.66574584,Ghazni,Rashidan,
2,68.26591693,33.66761779,Ghazni,Rashidan,
2,68.21157441,33.64453327,Ghazni,Rashidan,
2,68.19843059,33.62509367,Ghazni,Rashidan,
2,68.17556697,33.61802472,Ghazni,Rashidan,
2,68.17413109,33.60841537,Ghazni,Rashidan,
2,68.14309401,33.58842351,Ghazni,Rashidan,
2,68.09040827,33.59482974,Ghazni,Rashidan,
2,68.0727161,33.61359465,Ghazni,Rashidan,
2,68.03485078,33.61382754,Ghazni,Rashidan,
2,68.01991888,33.63886939,Ghazni,Rashidan,
2,68.06360962,33.67974651,Ghazni,Rashidan,
2,68.05414137,33.69567694,Ghazni,Rashidan,
2,68.03632089,33.70107709,Ghazni,Rashidan,
2,68.0365729,33.7126694,Ghazni,Rashidan,
2,68.04485312,33.71536947,Ghazni,Rashidan,
2,68.03099275,33.72602576,Ghazni,Rashidan,
2,68.06377629,33.7662808,Ghazni,Rashidan,
2,68.08609689,33.77139294,Ghazni,Rashidan,
2,68.11129757,33.79421755,Ghazni,Rashidan,
2,68.16123341,33.81579678,Ghazni,Rashidan,
2,68.19827591,33.79947369,Ghazni,Rashidan,
2,68.1982039,33.78802539,Ghazni,Rashidan,
2,68.21901246,33.77535305,Ghazni,Rashidan,
2,68.21771643,33.7587926,Ghazni,Rashidan,
2,68.22988476,33.74849632,Ghazni,Rashidan,
2,68.23053277,33.73748003,Ghazni,Rashidan,
2,68.29029438,33.72322364,Ghazni,Rashidan,
2,68.28266218,33.71127132,Ghazni,Rashidan,
2,68.29554454,33.68048035,Ghazni,Rashidan,
3,68.27884323,33.66574584,Ghazni,Khwajaumari,
3,68.31512344,33.69031267,Ghazni,Khwajaumari,
3,68.3177104,33.69979819,Ghazni,Khwajaumari,
3,68.33581912,33.69860421,Ghazni,Khwajaumari,
3,68.34948357,33.71160534,Ghazni,Khwajaumari,
3,68.38032809,33.72062653,Ghazni,Khwajaumari,
3,68.39306389,33.74298052,Ghazni,Khwajaumari,
3,68.40785599,33.72400948,Ghazni,Khwajaumari,
3,68.45939619,33.7402609,Ghazni,Khwajaumari,
3,68.45282929,33.71339631,Ghazni,Khwajaumari,
3,68.45939619,33.70129067,Ghazni,Khwajaumari,
3,68.48022453,33.71505462,Ghazni,Khwajaumari,
3,68.50065488,33.70981437,Ghazni,Khwajaumari,
3,68.51688573,33.72561649,Ghazni,Khwajaumari,
3,68.55872975,33.68394361,Ghazni,Khwajaumari,
3,68.52459871,33.66550422,Ghazni,Khwajaumari,
3,68.51981711,33.65845589,Ghazni,Khwajaumari,
3,68.52900034,33.64210974,Ghazni,Khwajaumari,
3,68.49949509,33.62023707,Ghazni,Khwajaumari,
3,68.44480314,33.64017518,Ghazni,Khwajaumari,
3,68.4131528,33.62077658,Ghazni,Khwajaumari,
3,68.34564057,33.64272763,Ghazni,Khwajaumari,
3,68.31011945,33.63091884,Ghazni,Khwajaumari,
3,68.27884323,33.66574584,Ghazni,Khwajaumari,
4,68.2840478,32.84647732,Ghazni,Giro,
4,68.25758137,32.89071576,Ghazni,Giro,
4,68.23800033,32.90668476,Ghazni,Giro,
4,68.22003521,32.91628517,Ghazni,Giro,
4,68.18267915,32.91809119,Ghazni,Giro,
4,68.14446762,32.93767223,Ghazni,Giro,
4,68.22079564,32.99137749,Ghazni,Giro,
4,68.21556769,33.00677617,Ghazni,Giro,
4,68.11803973,33.00217666,Ghazni,Giro,
4,68.25282609,33.15064982,Ghazni,Giro,
4,68.2923733,33.18212338,Ghazni,Giro,
4,68.32179424,33.19484964,Ghazni,Giro,
4,68.37023615,33.19512333,Ghazni,Giro,
4,68.38966765,33.20867064,Ghazni,Giro,
4,68.44960426,33.223039,Ghazni,Giro,
4,68.46561472,33.24192314,Ghazni,Giro,
4,68.49366724,33.24233367,Ghazni,Giro,
4,68.51994082,33.25259678,Ghazni,Giro,
4,68.56468801,33.2141443,Ghazni,Giro,
4,68.58546397,33.17311075,Ghazni,Giro,
4,68.48326728,33.11548153,Ghazni,Giro,
4,68.43290959,33.07702905,Ghazni,Giro,
4,68.46233052,33.03159766,Ghazni,Giro,
4,68.4602779,33.01654508,Ghazni,Giro,
4,68.36202566,32.90351395,Ghazni,Giro,
4,68.2840478,32.84647732,Ghazni,Giro,
5,68.28344271,32.84603761,Paktika,Janikhel,
5,68.33205759,32.82224328,Paktika,Janikhel,
5,68.38665668,32.81558817,Paktika,Janikhel,
5,68.45796145,32.76587856,Paktika,Janikhel,
5,68.61632596,32.7436043,Paktika,Janikhel,
5,68.6626381,32.74550617,Paktika,Janikhel,
5,68.69510076,32.73518355,Paktika,Janikhel,
5,68.71525244,32.74203218,Paktika,Janikhel,
5,68.72584399,32.73258821,Paktika,Janikhel,
5,68.72475418,32.66830903,Paktika,Janikhel,
5,68.68969327,32.65397628,Paktika,Janikhel,
5,68.64836672,32.59917271,Paktika,Janikhel,
5,68.61863025,32.58635513,Paktika,Janikhel,
5,68.61401147,32.53540218,Paktika,Janikhel,
5,68.58191921,32.48652572,Paktika,Janikhel,
5,68.58286801,32.47355014,Paktika,Janikhel,
5,68.54083864,32.46151256,Paktika,Janikhel,
5,68.47643923,32.51049209,Paktika,Janikhel,
5,68.40802361,32.53192762,Paktika,Janikhel,
5,68.38996849,32.56414365,Paktika,Janikhel,
